id	message	like_count
310657283084544_310666943083578	360	Kkkkk o melhor prefeito da América Latina? Com 70% de rejeição? E ssa e boa!
310657283084544_310660796417526	282	Tem mais risada e insultos nos seus posts kkkkkkkkk.. acha mesmo que vai conseguir fraudar as urnas e a gente aceitar de boa? Marmito!
310657283084544_310665559750383	92	Eu quero você como meu presidente Haddad! 
E se você ganhar faça por merecer,  mude os olhos dos que não acreditam mais no PT!
310657283084544_310662689750670	189	Atenção a linguagem corporal!!!                                                          Ele fala uma coisa e movimenta a cabeça dizendo NÃO o tempo todo. Isso é um sinal de negação na linguagem corporal. Não sou de nenhum partido e nem to ligado nisso, porém, isso me chamou a atenção.
310657283084544_310666756416930	126	Haddad, vire homem e assume seus erros. Você usa máscara. Aqui não!!!
310657283084544_310673539749585	75	Fernando Haddad, você se virar presidente oque você pretende fazer em relação a os chefes de crimes organizados , comandar as facções de dentro dos presídios? Abraços .
310657283084544_310660199750919	53	Bom dia, meu presidente. Espero que esteja bem alimentado pq aguentar esses eleitores do outro candidato é dose!! Haddad neles, professor. É 13.
310657283084544_310683023081970	58	Bom dia senhor marmita de presidiário, o Kim kataguiri te chamou pro debate, vc vai arregar igual o Lula em 2006 e a Dilma 2014 nos últimos debates??  Só lembrar que eles faltaram no último debate na TV e não estavam esfaqueados!!! #ptnao
310657283084544_310689136414692	41	Amigos, vocês são mais fãs do Haddad do que Eu! Sempre tão por aqui dando ibope! Fiquem e vejam tantas coisas que o Haddad tem de bom!
Eu nunca fui na página do Bozo, porquê ele não é meu ídolo! #Haddadsim ❤🇧🇷🌍
310657283084544_310679476415658	50	Premio melhor prefeito? Porque nao foi reeleito se foi tao bom entao? Alem do mais perdeu pro Doria ja no primeiro turno! Isso aqui é pura fake news, alias sua candidatura ja é!
310657283084544_310661433084129	42	Caro presidente gostaríamos de assistir um debate entre os vice manu e Mourão já que o senhor bonoro não está bem para participar que seu vice o represente !!!
310657283084544_310706946412911	38	Leiam na bíblia 1Reis 11:25 " Hadade fazia o mal a Israel, porque ele detestava Israel"
Leiam Juízes 10:3 "Jair se levantou para proteger o povo de israel" #MessiasBolsonaro17
310657283084544_310658846417721	76	Para de falar mentira! Pelo amor...tô cansada.
310657283084544_310684653081807	16	Eu queria perguntar ao Fernando Haddad:

Candidato, qual é a sua proposta para impedir que presos continuem dando ordens de dentro dos presídios?
310657283084544_321225218665355	15	Fernando Haddad creio que Deus vai nos abençoar e vc será nosso presidente ,Deus conhece meu coração e minhas aflições não vai permitir o facismo e a tirania governar nosso Brasil ,#Haddadsim
310657283084544_310689049748034	18	Autoritarismo,  ditadura e ódio nunca mais!!!!! 
 #HADDAD13
310657283084544_310711866412419	16	Tem muitos bolsominions comentando os post de Haddad, ao invés de perder tempo aqui, vai olhar as propostas do candidato de quem vocês vão votar, Ah, esqueci, ele não tem proposta. 😂
310657283084544_310679553082317	14	É isso aí meu presidente! Contra o ódio, o fanatismo e preconceito eu voto 13!
310657283084544_699618653755793	16	Não sei se emociono ou morro de rir, mas depois de 30 anos de Vermelho, PT descobre que a bandeira do Brasil é VERDE AMARELA!💛💚
310657283084544_154584678829317	13	Milhões de pessoas foram beneficiadas pelos avanços na Educação brasileira que ocorreu durante os governos Lula. E Fernando Haddad, que foi ministro da Educação por sete anos usará toda sua experiência nessa área, para dar continuidade a esse legado. #HaddadÉLula

HADDAD quando Ministro criou ENEM, PROUNI , SISU.
LULA ESCOLHEU O MELHOR ⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐⭐
SOU 13
310657283084544_321228001998410	1	#Haddad13 Boosting science 
Haddad, on the other hand, has a more mainstream vision for Brazil that emphasizes science, innovation and action on climate and environmental policies. He has promised to promote renewable energies, such as wind and solar, while fighting deforestation and maintaining protections for indigenous territories in the Amazon. #Nature https://www.nature.com/articles/d41586-018-06917-w
310657283084544_321227521998458	10	o PT foi tão bom pro trabalhador que o salario minimo é menor que o auxilio reclusão
310657283084544_310681156415490	15	Bom dia  !! Vc vai combater a corrupção . Vai investigar o Pt e denunciar mais participantes da lava jato?
310657283084544_310687459748193	16	EU SOBREVIVI PARA VER O PT MUDAR DE COR.
O CAMALEÃO MUDOU DE COR PARA ENGANAR A PRESA!
310657283084544_321212775333266	13	70% de rejeição....
Vms atualizar isso aii.....ta mais engraçado que Tiririca.
80% de rejeição em SP....conseguiu ser pior que Kassab.......engraçado que ainda quer ser Presidente, esses votos que ganhado pra direito ao segundo turno a metade é fraude..
310657283084544_699585393759119	7	Bolsominions...bem vindo a pagina do Fernando Haddad...não tem coisas interessantes na página do vosso candidato?Mesmo assim sejam bem vindos!
310657283084544_310706019746337	10	Eu queria entender uma coisa:
Se o Lula era franco favorito nas eleições superando até mesmo o #17Bolsonaro, porquê o Haddad retirou a foto do Lula e mudou as cores de sua campanha?
🤔🤔🤔🤔
310657283084544_310672336416372	11	https://www.sintraconsp.org.br/noticia/fernando-haddad-e-o-pior-prefeito-do-brasil/
310657283084544_310678513082421	8	Por mais jovens nas escolas e universidades. Um ditado índigena diz que a história pertence ao velho, a aldeia ao índio e ao curumim o mundo.
Por um Brasil com mais livros e menos armas.
#HaddadManu13
310657283084544_310664719750467	3	Não caia na besteira de subir no palanque do Hélder Barbalho. Vais perder votos aqui no Pará. Pelo amor de Deus 
Caiu muito mal o acordo do Paulo Rocha com os Barbalhos.
310657283084544_310665393083733	10	Se você quer chamar a atenção do Bozo para o debate, é só chamar ele de frouxo
310657283084544_538389476601929	5	PRESIDENTE FERNANDO HADDAD , O POVO BRASILEIRO ESTÁ CIENTE QUE O MELHOR PRO BRASIL É VC SEM DÚVIDA.
310657283084544_321219651999245	8	São Paulo também tem enorme potencial e você não fez nada pela cidade !!
310657283084544_321213205333223	5	Meu presidente é professor, mestre em economia, doutor em Filosofia, não foge do debate, é cristão e defende os mais pobres como Jesus ensinou!
310657283084544_418983788634578	5	Tem dúvida: pergunta para o Google qual o pior político do mundo? Depois pergunta qual melhor prefeito do mundo? 👏👏😂 #Haddad13 não tenho dúvidas! #HaddadPresidente
310657283084544_699622163755442	6	Eu acho que ele esqueceu que temos a " internet " 
Não dá pra enganar mais as pessoas...
310657283084544_185302415701883	6	Haddad advogado bacharel economia doutorado professor universitário esse sim é o presidente que o Brasil precisa.
310657283084544_310694789747460	5	Se tem fraude nas urnas deve ter sido do candidato fujão que não comparece aos debates com desculpas esfarrapadas e aparece com tantos votos. Sai fanático......
310657283084544_699785670405758	4	13 neles
Haddad sim
Sem violência
Sem mentiras
Sem montagens
Preservação da família: Haddad casado 30 anos única esposa
O outro está na terceira esposa
Verdadeiros cristãos sabem
Rumo ao penta
13haddadsim
310657283084544_310694053080867	5	arrasou!!! meu voto é teu, mas faça teus vídeos com uma intérprete de LIBRAS, porque a legenda não torna acessível para os surdos. #HaddadSim❤
310657283084544_310693713080901	2	Parabéns por fazer do seu jeito!!! Jeito jovem e corajoso!!
310657283084544_310677916415814	4	Vossa Excelencia nao me respondeu ate agora. Pq o Senhor que instaurar uma nova Constituiente?
310657283084544_398375400701274	4	Tão fake News que até candidato é de mentira, o verdadeiro tá preso!🤣🤣🤣🤣
310657283084544_321313318656545	4	Quando perder as eleições já está convidado a ter seu stand up 
Eu dou tanta risada que você merece reconhecimento como humorista ♥️ obrigada Haddad
310657283084544_310709839745955	3	O Ranking da Educação da OECD leva em consideração o desempenho dos alunos no PISA. Entre 39 países, os alunos brasileiros só ficaram a frente dos sul-africanos.
Apesar do nosso investimento por aluno ser considerado alto em relação ao PIB, o desempenho de nossos jovens continua péssimo.
É urgente a necessidade de uma profunda reforma na educação, que priorize investimentos no ensino básico, ou continuaremos com desigualdade de oportunidades, tornando o Brasil cada vez mais atrasado.

Brasil ainda está em 38 lugar. Você foi ministro da educação por muitos anos.

O que me diz?
310657283084544_699578043759854	4	Parabéns, dêem um troféu a esse homem!! É um exemplo de pessoa  , tô até chorando aqui kkkkk
310657283084544_353197312096939	3	Se ele perder essa eleição tá ferrado vai se lascar com Sérgio moro.
310657283084544_321231095331434	4	Gustavo Christino, uma pergunta para você que tem a perícia de análise de linguagem corporal. O Haddad fala algo e balança a cabeça fazendo o sinal de negação. Isso significa que ele não acredita no que está falando?
310657283084544_154843858799506	0	O candidato à Presidência pelo PT, Fernando Haddad, responde há um ano e dez meses a uma ação de improbidade administrativa acusado de desvio de dinheiro público do Theatro Municipal de São Paulo durante sua gestão como prefeito da cidade (2013-2017).
