id	message	like_count
292005268190324_771044886566162	1	É isso ai...#HaddadPresidente 👏👏
292005268190324_189913175154009	0	Nosso futuro presidente.
292005268190324_771043986566252	1	#HaddadPresidente
292005268190324_242671596598576	1	#HaddadeManunoJaburu
292005268190324_189912341820759	1	Meu presidente
292005268190324_2219535834997272	1	Haddad presidente!
292005268190324_292010168189834	1	#HaddadPresidente
292005268190324_292009441523240	1	#Haddadsim
292005268190324_292007141523470	1	#HADDADSIM
292005268190324_292006918190159	1	#Haddad13
292005268190324_292007224856795	1	#haddadpresidente
292005268190324_242671719931897	1	haddAD SIMM
292005268190324_292009324856585	1	#caixa2bolsonaro
292005268190324_292008301523354	1	#Haddadé13
292005268190324_2219537164997139	1	vamos para a luta ganhar a eleição com o povo brasileiro
292005268190324_771043599899624	2	Brasil urgente Haddad presidente
292005268190324_292006574856860	1	#Caixa2Bolsonaro
292005268190324_242671243265278	1	#Haddad13presidente
292005268190324_292010284856489	2	Brasil urgente #haddadpresidente
292005268190324_292009504856567	1	13 Haddad
292005268190324_242670563265346	1	Brasil urgente Haddad Presidente
292005268190324_2219536904997165	1	#Haddad13 ❤
292005268190324_2219536818330507	1	Meu presidente ❤️
292005268190324_242670896598646	1	#HADDADSIM13
292005268190324_189913498487310	1	#caixa2dobolsonaro #haddad13 #haddadpresidente
292005268190324_242670523265350	1	#haddad 13
292005268190324_242672369931832	0	esse e meu presidente haddad
292005268190324_292005694856948	1	bom dia pra cima, #13
292005268190324_189912568487403	0	Meu presidente, meu crush
292005268190324_242674603264942	0	#Caixa2doBolsonaro
292005268190324_242670729931996	0	Haddad 13
292005268190324_292007278190123	0	Bom dia meu candidato preferido !!!
292005268190324_1637904086309985	0	#HaddadSim
292005268190324_2219535854997270	0	#HaddadSim #Haddad13 #haddadpresidente 
#caixa2dobolsonaro
292005268190324_242670526598683	0	Brasil urgente #haddadpresidente
292005268190324_292008311523353	0	Nosso Presidente Haddad 13..Vamos avante...
292005268190324_2219537774997078	0	#Haddad13
292005268190324_292008214856696	0	E vamo que vamo!!!!!
292005268190324_771043819899602	0	#Caixa2DoBolsonaro
