id	message	like_count
338477033387706_338508196717923	4	Á SOLUÇÃO é Jair Messias Bolsonaro. É preciso de Homens dotados de sabedoria para reconhecer a necessidade do meio antes das suas. Homens dotados de conhecimento para encontrar as soluções melhores, antes das mais lucrativas. Homens com coragem para executar o melhor projeto para o Pais antes do interesseiro e Homens que para melhor servir, tenha humildade para reconhecer e corrigir seus erros antes de nega-los. Este é um Pais que Homens e Mulheres dignos certamente querem construir . A história deste Pais, passado, presente e se continuar, mostra bem o grau de nossa evolução. A estatura dos homens e mulheres que têm dedicado a dirigi-lo pode se medir pela dimensão daquilo que construíram até hoje . ATÉ QUANDO VAMOS CONTINUAR! Não adianta mudar o meio sem mudar o Homem. Se quisermos mesmo mudar o PAIS temos de mudar os Homens e Mulheres que nos governa ou seja já a governaram. Um meio digno se faz com Homens com H maiúsculo. E é estes que se deve confiar a administração do Pais. Então o meu voto é 17 para Jair Messias Bolsonaro e General Mourão para Vice.
338477033387706_338509506717792	4	So lembrando que falta 17 dias p a eleição
obg pela atenção
338477033387706_338513036717439	4	Isso aí!!
Comecem a postar estas multidões recebendo e carregando Bolsonaro nós braços... cada vídeo com o nome das cidades...😍
Publicar as carreatass gigantescas ocorridas após internação de Bolsonaro...
Porque com os fatos explícitos,  se mesmo assim tentarem fraudar as urnas , a fraude será evidente. E o mundo inteiro também perceberá!
338477033387706_338493416719401	4	Deus é contigo! E você será um GRANDE PRESIDENTE  desta NAÇÃO inclusive para os que falam mal de você... 🙌🏼
338477033387706_338517976716945	4	Que lindo todo mundo de Verde e amarelo as cores da nossa bandeira. .diferente daquele vermelho sangue que o PT representa.. sou Bolsonaro presidente #B17
338477033387706_338525583382851	3	Capitão , a unica maneira de você não ser o proximo Presidente é se houver fraude nas eleições , então o Exercito vai ter que ajudar a fiscalizar esta eleição e contagem de votos.
338477033387706_338491510052925	4	Vai ser no primeiro turno se Deus quiser!!
Levanta desta cama Capitão, tem uma faixa presidencial te esperando.
338477033387706_338506233384786	4	No dia da eleição todos bolsonariano de camisas do Brasil a canarinha amarela ..pra representar o nosso futuro presidente Bolsonaro 17 e confirmar..
338477033387706_338494216719321	4	Deus abençoe nossa nação e sua missão,se prepara pra subir a rampa,botar a faixa e a ordem nesse Brasil Capitão,o povo de bem está contigo nessa batalha!
338477033387706_338516490050427	3	O nome dele tem Messias ele não veio aqui à toa Bolsonaro presidente
