id	message	like_count
2053772501602068_2053851471594171	270	Chorei aqui. nunca precisei de nada das coisas que ele falou, mas tenho orgulho pelo que Lula fez ao povo brasileiro. não tem quem mude essa história...
2053772501602068_2053828381596480	170	Me incluo nesta lista de quem se beneficiou das medidas criadas pelo governo Lula.
Graças ao Minha Casa - Minha Vida, hoje tenho um apartamento, financiado a perder de vista, mas sim tive facilidade em conseguir este financiamento a juros baixos e com entrada infinitamente mais facilitada do que nos governos anteriores e do que com este governo atual.
Tenho dois cunhados que casaram-se recentemente e estão sofrendo para concretizar este sonho da casa própria, minha cunhada pagando aluguel e meu cunhado dividindo o teto com os pais, enquanto buscam algum imóvel que seja possível financiar com o pouco que eles tem para dar de entrada. Minha Casa - Minha Vida fez sim a diferença na minha vida.
Outro sonho realizado foi o de conseguir comprar um carro. Popular, pequeno, mais que com os subsídios dados pelo governo as montadoras, com a obrigação de que elas facilitassem a população o financiamento com juros baixos, conseguimos realizar. Compramos um carro financiado em 60 meses sem entrada, passamos os cinco anos pagando, mas nos governos anteriores não conseguiríamos está facilidade e seria mais um sonho adiado.
Meu irmão precisou do FIES para conseguir se formar, hoje é Professor de Educação Física do Estado de São Paulo. Ainda está pagando sua formação??? Sim, mas se formou com muito esforço e se esforçou mais ainda e passou em um concurso público e com sua estabilidade de emprego garantida vem se firmando e mantendo seu compromisso com o programa.
Não estou dizendo que o Lula veio aqui pessoalmente me dar um real que seja. Quando falo para algumas pessoas que fui beneficiado pelos programas de governo do Lula, essas pessoas viram pra mim e dizem "deixa de ser besta governo nenhum dá nada para ninguém", então afirmo novamente, Lula não me deu dinheiro, me deu condições para que eu com o pouco que tinha pudesse conquistar coisas que só eram permitidas aos que possuíam uma estrutura financeira maior.
Claro que estás conquistas que tive com minha esposa Solange Simões de Lucena, também se deu pelo fato de que as empresas também estavam contratando mais, também estavam ganhando mais e investindo em seus funcionários, treinando e melhorando seus colaboradores para continuar crescendo e se destacando no mercado. Assim tivemos também neste período uma estabilidade de emprego, que jamais tivemos antes. 
Eu acredito que politica social seja isso, permitir que possamos conquistar as mesmas coisas que eles, mesmo que pareça que as condições sejam desfavoráveis, elas nos permitem ajustar um pouco a balança e nos fortalece para novos saltos.
2053772501602068_2053782138267771	291	Urna não é lugar de depositar ódio, é lugar de depositar esperança. Por isso, neste dia 7 de outubro, vote em quem já fez muito pelo Brasil e fará ainda mais. Vote 13! #HaddadPresidente
2053772501602068_2053792651600053	134	Sensacional....lindo! Emocionante e muito fácil de entender. Todo brasileiro deveria assistir. Haddad/Manu13 #eleNUNCA
2053772501602068_550368772080243	98	E despois  deixou mais 200 milhoes tudos roubados .ta chegando a hora J.B17
2053772501602068_2053878641591454	77	Eu chorei porque me senti tão representado pelo garoto que ficou pra trás... Eu chorei com ele pq eu me vi atrás tantas vezes... Eu sou um dos bolsistas, dos que não tinham como se ver em uma profissão, dos que já se preocupou com comida, em ter uma casa... Eu sou... 🖤
2053772501602068_2053832174929434	60	Chorei assistindo este vídeo. Reflete de fato minha vida!
#Haddad13
2053772501602068_557981184637864	60	Esqueceu de perguntar, quem já procurou o atendimento do SUS e marcou uma ficha pra se consultar com 3 meses depois? Quem ficou na fila pra fazer uma tomografia e já espera a mais de 6 meses? Quem não pode sair com um celular na mão que o dono assalta e leva e fica por isso mesmo? Eu respondo euuuuuuuuuuuuuu
2053772501602068_2032350630160693	53	*B* oa tarde!
*O* timo trabalho
*L* amento o calor
*S* ó que faz parte
*O* sol brilhará mais
*N* ada atrapalhará
*A* legria reinará
*R* isos serão fartos
*O* timismo total...

*1* forte abraço
*7* de outubro é o dia !
2053772501602068_2053803794932272	42	É a verdade, porém a elite não quer isso para nós eles querem que nós possamos  morrer na miséria e nunca saíam dela.
2053772501602068_2053865601592758	31	Simplesmente, maravilhoso. Que ensinamento! Por isso, somos Haddad, vamos Haddadear?
2053772501602068_2053787268267258	33	❤❤13❤❤
#haddad13
#haddadpresidente 
#manunojaburu 
#vaidarPT 
#oBrasilfelizdenovo 
#haddadé13
2053772501602068_2053868091592509	23	To passada.... gente.... sabe aquela história do  "entendeu? Ou quer que eu desenhe?" 
Apesar de ter dado muitos "2 passos" sem apoio do governo também tive meus "dois passos pra frente" com auxílio público para ter a formação científica que tenho hoje.
Emocionem-se  comigo Eliezer Bergamine Moura Giuliana Lima Bruna Gil Cecília Matheus Fabiano Romão Felipe Silva Castro  Célia Aparecida Marques Pimenta
2053772501602068_2053907191588599	20	Imitação de um vídeo americano que não falou dos projetos de governo comunista que esse governo quer implantar
13 anos e as mesmas promessas 
Deixar o povo dependendo do governo e fácil isso ja está em prática 
Quero ver colocar a população com um capital independe para não ver o filho precisar do estado para ser alguém na vida e sim para garantir o essencial é não para tudo como é hoje
2053772501602068_172502587009041	13	Eu acredito em um Brasil melhor. E por isso que eu digo  votee #Haddad17
2053772501602068_2053969111582407	11	Realmente em 2005 me encontrava com uma filha recém nascida e sem nenhuma perspectiva de trabalho, pois existe o preconceito com Mães relacionados ao trabalho. Quando chegou em minha casa uma carta informando que tinha sido contemplada com o BF! Dei pulos de alegria pois de verdade mesmo passava grandes necessidades. O valor que recebia por mês pra alguns pode soar como irrisório R$96 reais mas era o que me sustentava. Me emocionei ao ver o vídeo pois é a forma como acontece na sociedade a desigualdade. #elenao
2053772501602068_2053800628265922	25	Fernando Haddad, eu só peço pelo amor de Deus, não caia nas provocações dos outros candidatos que estarão lá hoje, deixe bem claro no início do debate que você veio mostra propostas e não fica "batendo boca".
Nós eleitores não estamos conseguindo acompanhar um debate se quer que não seja esse bate boca de um candidato querendo agredir verbalmente o outro. Mostre suas propostas sobre o tema, mostre superioridade, ignore as provocações. E boa sorte 🙏
