id	message	like_count
1001789173326073_1001798456658478	38	Esperando que o Brasil esteja à altura de um candidato da excelência de Fernando Haddad. Ele é excepcional!
1001789173326073_1001799943324996	42	ESTÁ CHEGANDO A HORA DO MAR VERMELHO SE JUNTAR!!!!!!! FECHAR NAS URNAS!!!! SIMBORA MEU POVO!!
#13.
1001789173326073_1001800533324937	27	indecisos: vote Haddad vote 13, o candidato mais preparado, pra fazer o nosso # BrasilFelizDeNovo
1001789173326073_386274811910041	23	Menos ódio e mais liberHaddad, solidarieHaddad e fraterniHaddad pra todos.
1001789173326073_1001800016658322	14	13
 É  nós 
Esquece  essa nuvem  carregada 
Nós  somos sua energia  ++++ 
Confia. ..abraço  gigante 
Tá  rouco  de tanto falar. ..Cuide-se
1001789173326073_386274661910056	9	Meu presidente Haddad hoje estarei firma e forte na Cinelândia RJ  vamos de 13 a família estará lá de aguardando
1001789173326073_325795037976506	8	Deus te proteja Haddad 13❤. Nos mulheres vamos dar a resposta no dia 7
1001789173326073_1001795343325456	9	Olá nosso presidente vamos ganhar e derrotar o Capitão nessa reta final
1001789173326073_1001799443325046	9	É o desespero deles, Haddad e Manu vamos a Vitória 13 neles
1001789173326073_1001797143325276	5	Manú meu amor!!!! Amor de mulher!!!! É um direito de expressão...
1001789173326073_247430999254029	4	Nosso presidente é um homem de fino trato, tem sangue arrebatador!!
1001789173326073_386274528576736	5	Meu presidente Haddad espero q vc olhe muito pelo Maranhão q hoje sofre na mão de políticos corrupto q existem aqui #somos1somos13
1001789173326073_386275255243330	3	A imprensa também tem que estudar para fazer perguntas interessantes
1001789173326073_386275531909969	1	Boa tarde. Onde eu encontro as proposta do candidato (e futuro) presidente para o setor de transportes? Em especial, a revitalização dos Trens?
1001789173326073_247430169254112	1	Compañero Habbad, tu victoria será la victoria de toda América Latina. Venceremos! Gran abrazo desde Paraguay!
