post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2816086435138628	2020-01-31T12:33:09+0000	"o prefeito bruno covas e a mais nova vitima da sindrome das fake-news. ele tem reiterado, em diversas entrevistas e manifestacoes publicas, estranhamente sem ser contraditado, que seu antecessor joao doria jr., recebeu a prefeitura de sao paulo com \"rombo nas financas\". trata-se de mentira deslavada.  todas as agencias de verificacao de dados, inclusive a lupa, o tribunal de contas do municipio e ate uma agencia internacional de checagem atestaram que a gestao fernando haddad deixou r$ 5,5 bilhoes em caixa e restos a pagar de r$ 2,2 bilhoes. passados mais de tres anos a frente da prefeitura municipal de sao paulo, a gestao doria-covas nao conseguiu responder as necessidades da cidade, aos seus diversos problemas estruturais, e apela agora descadaramente para uma fake news absurda."	8365	115	996
904277726319518_2815993118481293	2020-01-31T11:33:15+0000	"alem do carnaval de rua de sp, hoje o maior do pais, um dos maiores acertos da nossa gestao em sp foi a criacao da spcine e as 20 salas publicas de cinema nos ceus."	1225	2	103
904277726319518_2813976112016327	2020-01-30T11:49:56+0000	"acelera."	4354	264	2503
904277726319518_2812827805464491	2020-01-29T21:20:17+0000	"weintraub hoje: - funcionarios do mec afirmam que resultado do enem nao e 100% confiavel - mpf encontra indicio de falha no sisu na reserva de vagas para pessoas com deficiencia - novo problema no sisu: estudantes dizem nao conseguir se inscrever na lista de espera"	2940	564	440
904277726319518_2812792968801308	2020-01-29T21:00:46+0000	"acompanhe, daqui a pouco, no brasil 247."	2116	2	104
904277726319518_2808076015939670	2020-01-27T15:11:56+0000	"devemos a um baiano, meu secretario de cultura e ex-ministro juca ferreira esse resultado extraordinario."	8370	7	712
904277726319518_2806271942786744	2020-01-26T16:58:51+0000	"queriamos agradecer as mensagens de carinho pela passagem do meu aniversario. que bom ter amigos queridos como voces!"	29387	6	576
904277726319518_2803986739681931	2020-01-25T14:34:52+0000	"cronica da semana sobre a historia do bndes e a caixa-preta vazia."	2543	7	507
904277726319518_2800724786674793	2020-01-23T23:08:01+0000	"bolsonaro errou ao extinguir o ministerio da seguranca publica. agora, por vaidade, quer recria-lo. moro seria esvaziado e ameaca deixar o governo. alguem saira bem menor do episodio."	6194	9	360
904277726319518_2798299066917365	2020-01-22T17:19:28+0000	"o sisu e das coisas mais inovadoras que fizemos no mec. nenhum paralelo no mundo. boa sorte, mocada!!"	7453	4	395
904277726319518_2798081073605831	2020-01-22T15:06:06+0000	"editorial do new york times: brasil considera crime reportagens de glenn greenwald. ele enfrentou ameacas continuas desde que revelou que os textos vazados mostravam atividade ilegal de um juiz que ajudou a abrir caminho para a eleicao de jair bolsonaro."	3784	49	851
904277726319518_2797774900303115	2020-01-22T11:59:49+0000	"melhor artigo que eu li sobre a crise com o episodio alvim."	1863	8	336
904277726319518_2794272223986716	2020-01-20T14:43:19+0000	"vivendas da barra pesada presidente da casa da moeda destitui comite para garantir contratacao de amigo por r$ 40 mil/mes: eduardo zimmer sampaio e saudir filimberti dividem uma casa no condominio do presidente jair bolsonaro. mamata da pesada!"	2623	1498	2119
904277726319518_2788143047932967	2020-01-17T13:50:39+0000	"semiotica: o problema definitivamente nao e o secretario."	8327	112	897
904277726319518_2787053274708611	2020-01-17T00:17:14+0000	"bolsonaro diz que vida \"acabou\" apos eleicao. nao foi a vida, foram as ferias de 30 anos! deve ser duro mesmo."	8331	85	2342
