id	message	like_count
1560846124062198_1560852270728250	19	13 e vamos a vitória Haddad .. vamos mostrar que o golpe ñ  é nada perto do nosso poder
1560846124062198_1560853297394814	21	Muito amor pelos meus candidatos! Futuro presidento e vice presidenta!
1560846124062198_1560850084061802	11	Eu estou do lado do candidato a presidente que irá oferecer um livro a seu filho e não uma arma. 

Haddad 13!!!
1560846124062198_1560852037394940	16	Não vamos deixar esse povo escravizar o trabalhador, 13 sempre, vai Haddad e Manuela, estou com vocês aqui na serra gaúcha
1560846124062198_1560851237395020	13	É 13 de cabo a rabo!!!! Hadda e Manu no Planalto Central! Uhuuuuu!! 🤗
1560846124062198_1560849744061836	7	Escutem é uma questão de educação,quando professor fala os alunos aprendem
1560846124062198_1560850830728394	7	Meu presidente! Vamos acreditar e cada um fazer a sua parte...eh 13!
1560846124062198_1560854437394700	4	projeto nao é do PT, é de umacoligação com o PCdoB presisente Fernando Haddad
1560846124062198_1560850264061784	9	So Deus ...pode barrar essa onda vermelhaaa!!!! Eeeee trezeeeeeeeeee HADDAD HADDAD
1560846124062198_1560849477395196	4	Eu quero meus direitos trabalhistas (os que há ainda)conservados. #Haddad
1560846124062198_249080059083849	3	Não engula essa que o Socialismo é a 'velha' política. Pois ele ainda está no ventre daqueles que tentam fazê-lo viver e mesmo dar um sentido à vida. 

No mais, Lula livre pela Democracia.
1560846124062198_1560849344061876	4	Haddad presidente!
1560846124062198_1560851657394978	3	Haddad presidente ❤️
1560846124062198_1560848654061945	4	Meu Prefeito lindo e futuro Presidente do Brasil! !!!
1560846124062198_1560848240728653	3	13 neles meu Presidente! #HaddadPresidente
1560846124062198_1560849687395175	2	#HaddadManu 13 ⭐️✨✨✨ #JilmarTatto132 ❤️🙌🙌🙌
1560846124062198_1560847230728754	2	Haddad presidente Manu vice irgente
1560846124062198_1560847867395357	2	#TBTreze
1560846124062198_1560852067394937	2	Haddad 13
1560846124062198_1560852124061598	0	Manda um beijo pra Valmira
1560846124062198_1560851914061619	2	#haddadmanu13
1560846124062198_1560852864061524	2	13 neles
1560846124062198_1560850970728380	2	Sou 13,  sou Haddad e Manuela
1560846124062198_1560850637395080	2	#HaddadPresidente
1560846124062198_1560851764061634	2	Haddad lindaoo
1560846124062198_1560848150728662	1	VEM PRA BARUERI
1560846124062198_545974182513586	0	https://www.cartacapital.com.br/blogs/intervozes/acesso-universal-a-internet-e-ignorado-pela-maioria-dos-candidatos/@@amp
1560846124062198_1560851384061672	0	Oi crushes😍
1560846124062198_1560850600728417	1	Fogo na bombaaaaaa
1560846124062198_1560848837395260	0	São carlos/ sp
1560846124062198_1560850727395071	1	Lindoooooo 😉 ! 👏👏👏🌹
1560846124062198_1560850307395113	0	Haddad seu lindo!
1560846124062198_1560850910728386	0	Haddad e manu ❤
1560846124062198_1560850090728468	1	Meu Presidente ❤️❤️❤️❤️❤️❤️❤️❤️
1560846124062198_1560852424061568	0	Meu presidente!
1560846124062198_1560849084061902	1	#HaddadPresidente
1560846124062198_1560852960728181	0	Ciro Gomes 12
1560846124062198_1560848247395319	0	É 13...
1560846124062198_1560851397395004	0	Adorooo meu voto é 13
1560846124062198_1560852580728219	0	13
1560846124062198_1560849684061842	0	Sou 13 sou de Guarulhos sou HADDAD
1560846124062198_1560849974061813	1	13
1560846124062198_1560847350728742	0	Uhuuuu
1560846124062198_293240644836704	0	😍
1560846124062198_1560846940728783	0	😍
1560846124062198_293270834833685	0	👋🏼😍
1560846124062198_1560846670728810	0	😍
1560846124062198_1560847584062052	0	😍
1560846124062198_1560848934061917	0	13
1560846124062198_1560849100728567	0	13
1560846124062198_1560851654061645	0	13
1560846124062198_1560847000728777	1	👍
1560846124062198_1560847557395388	0	😍
1560846124062198_1560848667395277	2	13
1560846124062198_1560851800728297	1	13333
1560846124062198_1560847654062045	2	Haddad presidente
1560846124062198_1560848390728638	2	Tamos juntos e 13 Haddad presidente
1560846124062198_1560850587395085	2	Haddad, nosso presidente 👏👏👏👏👏
1560846124062198_1560850934061717	2	Haddad presidente 13
1560846124062198_1560848810728596	2	Fernando Haddad  meu e 13
1560846124062198_1560851990728278	1	13 na cabeça
1560846124062198_1560847540728723	2	MANAUS-AMAZONAS VOTA 13.....EX PROUNI HOJE ADVOGADA.....BRASIL FRLIZ DE NOVO 13....13....13.....
1560846124062198_1560852447394899	1	Haddad Presidente!!!
1560846124062198_1560847684062042	2	Juazeiro bahia te espera
1560846124062198_1560849534061857	2	E 13 nele.
1560846124062198_1560848890728588	1	Haddadiei e Manuelii
1560846124062198_1560848790728598	2	Bom.dia
1560846124062198_1560849604061850	1	Haddad 13👏👏👏
1560846124062198_1560847070728770	1	Bom dia companheiros! ❤️13❤️
1560846124062198_1560850224061788	2	É Haddad no segundo turno!
1560846124062198_1560849550728522	1	Lindos! 👏👏👏👏👏👏
1560846124062198_1560847360728741	1	Parabéns pela conquista.
1560846124062198_1560850604061750	1	Haddad e Manu 😍😍😍
1560846124062198_1560850080728469	1	Vice Manuela 13
1560846124062198_1560851537394990	2	Paraíba é 13❤
1560846124062198_1560849644061846	1	Haddad 13
1560846124062198_1560847437395400	1	Haddad 13
1560846124062198_1560850424061768	1	13 na cabeça é no coração
1560846124062198_1560850350728442	1	Meu presidente!!!
1560846124062198_249085312416657	0	Luta sempre. A democracia não pode ser perdida.
1560846124062198_1560849547395189	1	#Caruaru presente
1560846124062198_1560849787395165	1	13 neles!!
1560846124062198_1560852657394878	1	Vila Velha.  Presente É 13 
Atenção temos que votar em dois sensdores de esquerda.
1560846124062198_1560849144061896	1	Tamos Juntos 13 dia 7 de Outubro
1560846124062198_293241368169965	0	1⃣3⃣✅💯% Haddad 🙌
1560846124062198_1560849080728569	1	13 neles
1560846124062198_1560847674062043	1	Nosso Futuro Presidencial....13 de baixo a riba ....
1560846124062198_1560848347395309	1	Haddad13 ❤️
1560846124062198_1560851640728313	0	Addad 13
1560846124062198_1560849827395161	0	Bom dia meu presidente
1560846124062198_1560849074061903	0	Haddad 13
1560846124062198_249082402416948	0	#TBTreze!
1560846124062198_1560850034061807	0	Haddad e Manu
1560846124062198_1560851340728343	1	Thiago Moura13
1560846124062198_1560852624061548	0	Venha logo pra Natal Presidente Haddad
1560846124062198_1560848227395321	0	O Amor vai vencer o ódio é 13
1560846124062198_1560851350728342	1	Tamos junto companheiro
1560846124062198_1560849190728558	1	1358 alencar santana
1560846124062198_1560848984061912	0	13456 Beth sahao
1560846124062198_1560852310728246	0	#TBTreze
1560846124062198_1560852660728211	0	Amoooooooooo. E vamos que vamos 😍😍👏👏👏👏👏👏
1560846124062198_1560853367394807	0	A Manuela deveria falar mais
1560846124062198_1560851227395021	0	É hadad pra o primeiro turno
1560846124062198_1560852174061593	0	Isso aí meu Povo! É 13!!
1560846124062198_1560846764062134	0	Bom dia!Porto Alegre!!
1560846124062198_1560851187395025	0	Haddad e 13
1560846124062198_1560852094061601	0	Estamos juntos #Haddad
1560846124062198_1560849590728518	0	Haddad e Manu para o Brasil voltar a sorrir
1560846124062198_1560851647394979	1	Maceió Alagoas é 13❤️
1560846124062198_1560848950728582	1	Haddad 13
1560846124062198_1560851324061678	0	Bahia é 13
Haddad e Manu
1560846124062198_1560853144061496	1	Amo vocês
1560846124062198_1560852790728198	0	#Haddad e Manu
1560846124062198_1560848420728635	0	Haddad e Manu❤️❤️❤️❤️
1560846124062198_1560848327395311	1	Haddad e Manu! ❤️13❤️
1560846124062198_1560849110728566	0	13 neles!
1560846124062198_1560849740728503	0	Haddad 13
1560846124062198_1560849294061881	0	Meu Presidnente 13
1560846124062198_1560848807395263	0	Haddad
1560846124062198_1560850157395128	0	viva haddad 13
1560846124062198_1560851970728280	0	RJ #HaddadeManu
1560846124062198_1560850647395079	1	Meu Presidente e Minha Vice Presidenta
1560846124062198_1560851944061616	0	#HaddadeManu 13
1560846124062198_1560852817394862	0	Vamos q vamo#13
1560846124062198_1560849637395180	0	Da lhee Haddad Haduuuuuken ⭐️⭐️⭐️⭐️
1560846124062198_1560848544061956	0	13 neles!
1560846124062198_1560848100728667	0	#haddadmanuela
1560846124062198_1560851480728329	0	Nosso presidente! !!!
1560846124062198_1560847630728714	0	Ta lindo ❤
1560846124062198_1560852390728238	0	Voto 13❤
1560846124062198_1560851904061620	0	Haddad e Manuela
1560846124062198_1560850297395114	0	13 MS
1560846124062198_1560852777394866	0	É 13 DE CABO A RABO DE PONTA A PONTA É 13
1560846124062198_1560852557394888	0	Haddad e Manu
1560846124062198_1560852827394861	0	Haddad irá pra o Jornal Nacional amanhã?
1560846124062198_1560849964061814	1	13 neles
1560846124062198_1560850860728391	0	13 Haddad de ponta á ponta. 😍😍😍❤❤❤
1560846124062198_1560853000728177	0	Rio de Janeiro.
1560846124062198_1560852167394927	0	13 neles
1560846124062198_1560850237395120	0	Hadad pra presidente
1560846124062198_1560849780728499	1	Estou com vc
1560846124062198_1560850177395126	0	Somos todos13😍😍
1560846124062198_249080385750483	0	#HaddadPresidentd
#ManunoJaburu
1560846124062198_1560850197395124	0	É 13 minha gente!!!
1560846124062198_1560848887395255	0	HADDAD E MANUELA 13
1560846124062198_1560852514061559	0	Bahia e 13
1560846124062198_1560850874061723	0	#HaddadPresidente13
1560846124062198_1560847050728772	0	Bom dia!!
Meu povo.
1560846124062198_1560851677394976	0	240 crianças por creche, 12 creches, 3600 crianças?
1560846124062198_1560848034062007	0	Vamos juntos companheiros
1560846124062198_1560851060728371	0	Haddad ❤
1560846124062198_1560848440728633	0	Bom dia
1560846124062198_1560850617395082	0	Fernandão!
1560846124062198_1560849104061900	0	A Bahia é 13!!!
1560846124062198_1560849690728508	0	Estamos juntos hadadd
1560846124062198_1560852947394849	0	O Piauí é Haddad e Manuela 13
1560846124062198_1560848637395280	0	Haddad
1560846124062198_1560851400728337	0	#haddadmeupresidente
1560846124062198_1560850480728429	0	Tô com vc Haddad!
1560846124062198_1560852724061538	0	Maranhão
1560846124062198_1560850490728428	0	#Hadda13 ❤️
1560846124062198_1560849367395207	0	Eu vou vota 13
1560846124062198_1560852417394902	0	Brasil feliz de novo
1560846124062198_1560850610728416	0	13 neles
1560846124062198_1560852004061610	0	Manu e Haddad 😍😍😍😍😍
1560846124062198_1560848220728655	0	Dá-lhe 13!!!
1560846124062198_1560847857395358	0	Hadadd e Manu
1560846124062198_1560849894061821	0	Hahadad
1560846124062198_1560851644061646	0	Pernambuco  13
1560846124062198_1560850030728474	0	Manu Linda!
1560846124062198_1560849140728563	1	É "nois"!!!!
1560846124062198_1560847727395371	0	Vamos que vamos! 13.
1560846124062198_249084755750046	0	Tamos juntos e 13
1560846124062198_1560848374061973	0	HADDAD PRESIDENTE
1560846124062198_1560854297394714	0	Meu futuro presidente.
1560846124062198_1560852920728185	0	Valeu Haddad Manuela 💋👋🍀✋💞🙏😍🌹
1560846124062198_1560852794061531	0	Manu e haddad minas ta com vcs
1560846124062198_1560849484061862	0	É 13 de ponta à ponta.
1560846124062198_1560849824061828	0	13😍❤👏
1560846124062198_1560849697395174	0	Meu professor presidente 13 ✌
1560846124062198_1560848564061954	0	Venceremos!!
1560846124062198_1560851437395000	0	13 13
1560846124062198_1560850040728473	0	Amamos vcs
1560846124062198_1560849820728495	0	13 neles!!!!!
1560846124062198_1560851724061638	0	Tamos juntos
1560846124062198_1560850997395044	0	Meu voto é 13
1560846124062198_1560851837394960	0	Haddad 13 😍😍😍
1560846124062198_1560849117395232	0	É 13 com muito amor
1560846124062198_1560854357394708	0	sou português e apoio Haddad
1560846124062198_1560853124061498	2	É Haddad e Manu
1560846124062198_1560850894061721	0	parabens
1560846124062198_1560849384061872	1	Eu voto 13!!!
1560846124062198_1560853130728164	0	Em saj
1560846124062198_1560853007394843	0	Venha em Nazaré das farinhas
1560846124062198_1560852694061541	0	Saddam vai subir #ManunoJaburu
1560846124062198_1560850564061754	0	13 sim Haddddd
1560846124062198_1560847944062016	0	13neles
1560846124062198_1560847474062063	1	Haddad 13 na cabeça
1560846124062198_1560848050728672	0	#haddad
1560846124062198_1560853117394832	2	13
1560846124062198_1560848004062010	0	13 neles
1560846124062198_1560846780728799	1	😍
1560846124062198_1560848897395254	1	É13
1560846124062198_1560847934062017	0	Haddad 13
1560846124062198_1560852637394880	0	👏
1560846124062198_1560847757395368	1	E 13
1560846124062198_1560850154061795	1	13
1560846124062198_1560847077395436	0	😍
1560846124062198_1560850770728400	0	Vamos lá  Haddad, todos  , com a forca  da conquista!
1560846124062198_1560850960728381	0	13❤
1560846124062198_1560847604062050	0	😍
1560846124062198_1560848350728642	0	17
1560846124062198_1560849774061833	0	Meu presidente lindo 😘😘😘 é 13 neles
1560846124062198_1560852890728188	0	13
1560846124062198_1560848784061932	0	13
1560846124062198_1560851177395026	0	13
1560846124062198_1560847180728759	0	😍
1560846124062198_1560847354062075	0	😍
1560846124062198_1560849050728572	0	17
1560846124062198_1560850007395143	0	13
1560846124062198_1560847287395415	0	Vou Votar em ti cara.
1560846124062198_1560846950728782	0	👍
1560846124062198_1560849794061831	0	13
1560846124062198_1560846810728796	0	13
1560846124062198_1560847067395437	0	👍
1560846124062198_1560848244061986	0	13
1560846124062198_1560855117394632	0	13 13 13 13 13.
1560846124062198_1560848597395284	0	13
1560846124062198_1560846824062128	0	👋
1560846124062198_1560849750728502	0	13
1560846124062198_1560850404061770	0	É 13
1560846124062198_1560847760728701	0	😍
1560846124062198_1560849174061893	0	😂
1560846124062198_1560847830728694	1	13
1560846124062198_1560853084061502	0	13
1560846124062198_1560848674061943	0	12
1560846124062198_1560847777395366	0	😍
1560846124062198_1560850744061736	0	É 13
1560846124062198_1560848320728645	0	131313
1560846124062198_1560851527394991	0	É 13
1560846124062198_1560847624062048	0	😍
1560846124062198_1560847580728719	0	👏👏
1560846124062198_1560847410728736	0	😍
1560846124062198_1560846777395466	0	😍
1560846124062198_1560850004061810	0	13
1560846124062198_293240304836738	0	13
1560846124062198_1560847084062102	0	13
1560846124062198_1560848737395270	0	13
1560846124062198_1560852194061591	0	13
1560846124062198_1560848454061965	0	É 13
1560846124062198_1560847200728757	0	😍
1560846124062198_1560850990728378	0	É 13
1560846124062198_1560846910728786	0	Olá
1560846124062198_1560849847395159	0	13
1560846124062198_1560848087395335	0	😍
1560846124062198_1560850494061761	0	13
1560846124062198_1560846904062120	0	😍😍😍
1560846124062198_1560849400728537	0	13
1560846124062198_1560848960728581	0	13
1560846124062198_1560852930728184	0	13
1560846124062198_1560852280728249	0	13 😍
1560846124062198_1560847497395394	0	😍
1560846124062198_1560851587394985	0	e 13
1560846124062198_1560851977394946	0	Manu 😍❤️❤️❤️❤️❤️❤️
1560846124062198_1560851257395018	0	Haddad ❤️❤️❤️❤️❤️❤️❤️
1560846124062198_1560852394061571	0	13
1560846124062198_1560848850728592	0	😍
1560846124062198_1560849067395237	0	13
1560846124062198_1560849720728505	0	Haddad neles, vao ter que engullir.
1560846124062198_1560851344061676	0	❤️❤️❤️❤️❤️❤️❤️❤️❤️
1560846124062198_1560851734061637	0	Haddad Presidente e Manu no Jaburu
1560846124062198_668102253574029	0	Sou de São Paulo. Vc de outro estado manifeste sua posição.
Sou Haddad e Manu
Sou PT de cabo a rabo
13134
1363
131
132
13
13
Assim:#EUSOULULA
1560846124062198_249080975750424	0	Haddad Presidente! ❤
1560846124062198_546021149175556	0	Haddad presidente Manuela vice e suplicy senador, viva!!!!
1560846124062198_2230222090573527	0	Sou 13. Carapicuiba sp
1560846124062198_545979169179754	0	É Haddad Presidente 13
1560846124062198_301618803970834	0	Haddad presidente
1560846124062198_545975142513490	0	O que fez para Carapicuiba? Nadaaaaa.
1560846124062198_1560850667395077	0	boraaaaaaaaa
1560846124062198_1560852464061564	0	13 13 13 13 13 13 13
1560846124062198_293240588170043	0	Discontraia geral! Vc é o mais preparado e tem que mostrar isso. A mediocridade deles está disfarçada  no desarmamento.  O perfil deles é pra Leão de chácara ou segurança de boate. Jogue duro!
1560846124062198_1560855284061282	0	Com HADAD voltamos a ter esperança de um Brasil mais digno para todos
1560846124062198_894842600905161	0	Vitória Sá Carapicuiba também é cultura
1560846124062198_894666837589404	0	Adoro meu partido brigo luto por ele estamos juntos guerreiros e jamais os abandonarei um forte abraço
1560846124062198_1235646966576144	0	Campanha no grito pra não dar tempo nem de usar o cérebro pra analisar tantas frases repetidas
1560846124062198_894844614238293	0	Como aceitar essa mulher como você presidente ??????
Pelo amor de Deus. Não merecemos.
1560846124062198_342744702965768	0	Dignidade é o cidadão ter um trabalho digno e não ter esmolas.
1560846124062198_249080822417106	0	Foi mesmo Educação ❤❤❤❤
1560846124062198_293240691503366	0	É isso ai 👏👏👏👏👏
1560846124062198_546034612507543	0	Manu linda tem o nome da minha filha, a vice presidente mais linda do Brasil
1560846124062198_1235957363210707	0	Caracas é nóis
1560846124062198_249092952415893	1	Já  estamos ha frente nas pesquisasa
1560846124062198_293247998169302	1	Haddad13
1560846124062198_2171808063062779	0	Que bom, começando por Caracas!
1560846124062198_1560847490728728	0	❤13❤
1560846124062198_523061681498420	0	13 geral
1560846124062198_579856989096283	0	13 neles
1560846124062198_293246258169476	0	Osasco.
1560846124062198_249082789083576	0	Vamos de 13.
1560846124062198_249109589080896	0	Eu sou 13
1560846124062198_154153495513115	0	#HaddadPresidente #BrasilFelizDeNovo #ManúNoJaburú Eu voto sim. 😎👍🏻
1560846124062198_302761107174583	0	13 Haddad e Manuela
1560846124062198_546054862505518	0	Seja 👉👉👉voce parte da revolução chegou a hora do povo pegar as redias desse país golpiado e a deriva a o abismo Faça justiça com as próprias mãos. Digite 13 #Lula #HaddadPresidente #Manulinda
1560846124062198_1560849434061867	0	13456 Beth sahao 1358 alencar santana
1560846124062198_1775305882588360	0	#HaddadPresidente
1560846124062198_249080662417122	0	#TBTreze
1560846124062198_894665800922841	0	13 para a retomada do crescimento desse país maravilhoso
1560846124062198_706587789722663	0	17 melhor Jair acostumando 
Capitão vem ai
1560846124062198_293241714836597	0	Vivaaaaa
1560846124062198_2115546555375175	0	Vai dá PT,vai dá PT 🎶🎶🎶
1560846124062198_741595139521646	0	Haddad 13
1560846124062198_741594886188338	0	SP presente
1560846124062198_741594712855022	0	Haddad lindooooo ❤️
1560846124062198_341897179966611	0	Haddad Manu
1560846124062198_341896899966639	0	Nova pesquisa Haddad 22% e o coiso 18%
1560846124062198_291671824893842	0	É nós feliz de novo👏❤
1560846124062198_249079965750525	1	Estamos com Haddad e Manuela
1560846124062198_334534430454433	0	Ganharia nada!😂😂😂vocês são minoria 😉
1560846124062198_894665680922853	0	Vamos pra cima!
1560846124062198_1560855367394607	0	EU VOTO HADDAD EU VOTO 13
1560846124062198_249083962416792	0	Haddad Manu 13
1560846124062198_293241501503285	0	Vem p taubaté Haddad é noizzz 13 😊
1560846124062198_249081265750395	0	HADDAD PRESIDENTE PRIMEIRO TURNO
1560846124062198_293274278166674	0	Piada prontra!!!
1560846124062198_255299728660634	0	#Suplicy131 💝💝💝💝💝
1560846124062198_569489513480695	0	#HaddadManu
1560846124062198_894823187573769	0	#HaddadPresidente 13
1560846124062198_2176413172429631	0	JB 17 neles
1560846124062198_331185030979317	0	Manoela faz um projeto pra ajudar as mulheres na área financeira. Precisamos de ajuda profissionalmente. Os trabalhadores estão sendo escravizados novamente porque a classe alta humilha muito a classe baixa
1560846124062198_293243948169707	0	Como eu perdi isso???
1560846124062198_1560854677394676	0	#HaddadManu13
1560846124062198_2185433845005649	0	EU NAO  BATI  PANELAS  OU HADDAD  E  MANUELA  !!!
1560846124062198_249085399083315	0	Bora lá pt. Agora é hora.
1560846124062198_249083965750125	0	HaddadManu 😍
1560846124062198_249080362417152	0	Meu voto e Haddad
1560846124062198_293240498170052	0	O Brasil vai voltar a ser feliz de novo!!!
1560846124062198_293246788169423	0	13
1560846124062198_2176398039097811	0	#Bolsonaro17
1560846124062198_894666864256068	0	Maria Eliana 13
1560846124062198_1560855270727950	0	Haddad e Manu
1560846124062198_2185447058337661	0	Valeu. Vamos acabar com o golpe no voto
1560846124062198_249084865750035	1	Haddad  e Manuela 13
1560846124062198_894672090922212	0	#Haddad13
1560846124062198_249079952417193	0	É 13!
1560846124062198_293240221503413	0	Haddad e Manu
1560846124062198_249089369082918	0	13131313. 😘😘😘
1560846124062198_249082509083604	0	Força Haddad e Manu!!! 😍🙌✊✊✊✌
1560846124062198_894708907585197	1	É 13
1560846124062198_140912026848933	0	13 Haddad
1560846124062198_249083135750208	0	Tem que aumenta o som do microfone
